user_id,tweet_id,tweet_text,retweet_count,favorite_count,followers_count,friends_count,verified,label,time_delay (min),neg_sent,pos_sent,neu_sent,comp_sent
2280470022,580347360959717376,BREAKING Germanwings says 144 passengers and 6 crew on crashed plane http://t.co/wFg8KTSve2 http://t.co/qTYmopB5aj,105,12,57275,383,0,1,34.3333,0.0,0.0,1.0,0.0
7587032,580350166005248000,"The #Germanwings plane which crashed in the French Alps descended at an ""unprecedented"" rate, an aviation expert says http://t.co/h2N4a9lpOJ",120,27,1963500,17,1,1,NaT,0.0,0.0,1.0,0.0
342692032,580328783619579904,"Received news that a Germanwings Airbus A320 plane crashed in southern France, carrying 142 passengers &amp; 6 crew onboard.",30,3,4264,632,0,1,NaT,0.0,0.0,1.0,0.0
15754281,581394092648710144,#BREAKING German media report Germanwings co-pilot had 'serious depressive episode' http://t.co/9AsVPxukV8,100,16,1539284,800,1,1,2.8333,0.302,0.0,0.698,-0.4404
87818409,580356429615337472,Germanwings flight #4U9525 crashes in French Alps: plane was at low altitude when 'mayday' call received - live http://t.co/zViQibyimM,109,26,3404375,1084,1,1,2.0167,0.11,0.0,0.89,-0.2732
25777812,580319458004193280,BREAKING: a Germanwings A320 has crashed in the French Alps with 142 passengers on board @9NewsAUS,76,15,15721,363,1,1,19.4333,0.0,0.0,1.0,0.0
26574283,580322927679279105,BREAKING: German air traffic control confirms to NBC NEws that a Germanwings flight has crashed in France. http://t.co/QbF4sKLTCX,309,231,110732,29,1,1,13.0667,0.0,0.0,1.0,0.0
30122242,581335535832039424,"#GermanWings co-pilot was a fresh #Muslim convert - http://t.co/iNVyryt5LE via @Orvan 
Converts to #Islam are very disturbed #WhiteMuslims",25,6,24291,26717,0,1,8.0833,0.151,0.12,0.729,-0.1513
21851493,580321327845765120,"BREAKING: A #Lufthansa #Germanwings Airbus jet carrying 148 people has crashed in southern #France, en route from #Barcelona to #Duesseldorf",65,1,14305,268,1,1,327.0500,0.0,0.0,1.0,0.0
6591312,580318717860532224,"Airbus passenger plane crashed in French Alps said to belong to Lufthansa subsidiary Germanwings, flying Barcelone-Dusseldorf",27,2,3200,2151,0,1,70.4500,0.0,0.0,1.0,0.0
288283415,581293286268129280,GERMAN NEWS: Co-Pilot of Germanwings Airbus Was MUSLIM CONVERT. Can any muslim be trusted near an airplane now?,45,22,27856,27971,0,1,4.7667,0.0,0.154,0.846,0.4767
64643056,580325458870460416,#4U9525 UPDATE: 150 people were on board: 142 passengers and 8 crew members http://t.co/ccQWJzwpYZ,190,34,891875,482,1,1,0.4333,0.0,0.0,1.0,0.0
271413771,580327924978569216,Germanwings plane crash: #A320 sent distress signal before crashing in French Alps  http://t.co/U4yg4ndyBo http://t.co/6TMygKOETx,38,3,124676,1755,1,1,NaT,0.337,0.0,0.663,-0.7269
95747671,580372806178881537,DGAC clarifies: Germanwings didn't itself issue distress call but ATC launhed distress phase due combination of descent and no radio contact,37,6,48000,426,0,1,NaT,0.104,0.261,0.634,0.4943
112562263,581303989406314496,BREAKING: Co-pilot was Muslim convert http://t.co/owHYZXnVN9,28,9,66749,67307,0,1,5.5333,0.0,0.0,1.0,0.0
2566535282,580326871302316033,IMAGE: .@flightradar24 altitude &amp; speed chart of #4U9525. Aircraft entered a steep but constant descent. http://t.co/MoG0h2Dvaq,53,13,35881,946,0,1,22.3167,0.0,0.0,1.0,0.0
76453835,581460720900050945,#Germanwings #CoPilot was a recent Muslim convert as well as a psychiatric patient. #ISIS is lauding him as a hero. http://t.co/J29Y3tDjOP,41,5,4021,4422,0,1,1.7667,0.0,0.263,0.737,0.6908
2941152158,581307361857392642,Pilot of Germanwings Airbus Was MUSLIM CONVERT …’Hero of Islamic State’? http://t.co/o7H6OuEfJd via @gatewaypundit http://t.co/GlDWraPosJ,43,14,435,405,0,1,651.9833,0.0,0.0,1.0,0.0
1367531,581153923987206146,"Germanwings co-pilot battled depression in '09, friends say. http://t.co/srhDPf4Zn5 http://t.co/I3Zd1RyNud",154,62,5013586,384,1,1,2.7333,0.369,0.194,0.438,-0.4215
16834659,580338165824667649,#WATCH: An aviation expert says the #4U9525 distress call was circulated on Twitter within three minutes. http://t.co/ywO1t8O4XI,38,15,183319,17881,1,1,13.8833,0.175,0.0,0.825,-0.5267
15438913,580342519516512256,"Germanwings flight A320 plunged 31,200 feet in just ten minutes, according to radar data http://t.co/hv1iOCbIHA http://t.co/OQ4nlyTZ4y",186,31,903753,2353,1,1,3.3000,0.0,0.0,1.0,0.0
6017542,580320964875014145,"Airbus plane operated by Lufthansa's Germanwings airline crashes in southern France, officials say - @Reuters http://t.co/by471NAzFg",609,83,7411803,522,1,1,2.6667,0.0,0.0,1.0,0.0
14173315,580320745974288384,"#BREAKING: A Germanwings A320 has crashed in France, German officials confirm to @NBCNews",469,77,2169057,2881,1,1,0.6667,0.0,0.0,1.0,0.0
34262462,580321372703985664,MORE: Airbus #A320 was lost from Flightradar24 at 6800 feet at 09.39 UTC time #GermanWings http://t.co/WKhAjiH6pQ http://t.co/n4vTej13ff,97,13,69503,77,1,1,3.1833,0.126,0.0,0.874,-0.3182
146332990,580882302621843456,New York Times just reporting one of the pilots was locked out of the cockpit before it crashed #Germanwings #cbc,28,6,21557,1509,1,1,2.5333,0.0,0.0,1.0,0.0
5402612,580368417556992000,#Germanwings crew didn't send distress signal; it was sent by air traffic control - civil aviation authorities to AFP http://t.co/cN6iVJDoo7,584,417,14132268,3,1,1,0.7167,0.0,0.134,0.866,0.4168
2097571,580379486732066817,"BREAKING: Distress call linked with #Germanwings jet came from air traffic control, not plane -- aviation official. http://t.co/EOKW9FoIJ4",134,45,3360512,335,1,1,1.0167,0.167,0.0,0.833,-0.5267
134196350,580319651399385088,We get reports about an Germanwings A320 crash. Flight 4U9525 was lost from Flightradar24 at 6800 feet near Digne in southern France.,1496,214,213211,368,1,1,1.4667,0.2,0.0,0.8,-0.6124
26738483,580318210609696769,BREAKING - A Germanwings Airbus A320 plane reportedly crashed in the region of Digne (French Alps) #Flightradar24 - French TV #itele,45,9,44674,733,1,1,3.2167,0.0,0.0,1.0,0.0
2768501,580330740086243328,The French president has said he believed none of the 148 people on board #Germanwings flight #4U9525 plane survived http://t.co/KC9NBcEzSV,53,12,613449,1115,1,1,10.4167,0.0,0.148,0.852,0.5106
214007688,581061237783556096,Name of the co-pilot: Andreas Lubitz. http://t.co/L7FDlo6Iom #4U9525,51,7,12220,473,0,1,2.7833,0.0,0.0,1.0,0.0
87416722,580347361039413248,Airline #Germanwings says 144 passengers and six crew were on board the plane which crashed near #Digne,92,13,1452101,6,1,1,NaT,0.0,0.0,1.0,0.0
18040230,580336766663540736,"Plane crashes in southern France, 148 on board: Germanwings budget airline was flying from Barcelona to Dusseldorf. http://t.co/2VHTfulQOQ",27,2,338252,30,0,1,NaT,0.0,0.0,1.0,0.0
26738483,580318938996740096,"142 passengers on board GermanWings plane which has crashed in French Alps, according to AFP",46,1,44674,733,1,1,1.5167,0.0,0.0,1.0,0.0
130294479,581293685041557504,BREAKING: #Germanwings co-pilot was recent Muslim convert http://t.co/aqvtsI7OcV http://t.co/BI5OLZJKJI,38,13,50154,284,0,1,NaT,0.0,0.0,1.0,0.0
77528520,580320329203093504,#A320 @Germanwings flight #4U9525 (registration D-AIPX) was lost from @Flightradar24 at 6800 feet at 09.39 UTC time. http://t.co/5Gv9lXJZW8,51,4,29948,20986,0,1,1.2167,0.119,0.0,0.881,-0.3182
5943072,580324697415360512,French President François Hollande states that there are no survivors expected in the Germanwings #4U9525 crash.,39,4,7039,347,0,1,3.1500,0.259,0.0,0.741,-0.5994
3022045469,581450117972144128,GERMAN NEWS: Co-Pilot of Germanwings Airbus Was MUSLIM CONVERT …’Hero of Islamic State’?  http://t.co/VMXFNVRJEb http://t.co/CiXotBOh74,112,42,14151,12264,0,1,1.9000,0.0,0.0,1.0,0.0
294379576,580319968484421633,A Germanwings A320 has crashed en route to Dusseldorf. Flight Radar 24 of the last known position. #4U9525 http://t.co/FrI93NrYFF,51,11,11432,7228,0,1,60.1833,0.0,0.0,1.0,0.0
759251,580346392431968257,"Last words from #Germanwings A320 distress call were ""emergency, emergency,"" authorities say. http://t.co/FXVBrA7RPz http://t.co/OxfPISsdvj",1085,297,16318700,1074,1,1,NaT,0.207,0.0,0.793,-0.5267
26738483,581063957684850688,#BREAKING #GERMANWINGS co-pilot confirmed name at Press Conference: FirstName: Andreas Guenter / LastName: Lubitz,36,4,44886,733,1,1,0.9333,0.0,0.0,1.0,0.0
26282046,580326473803767808,"#BREAKING: Germanwings jetliner has crashed in Southeastern France, according to officials. All 148 on board are feared dead.",26,3,251940,782,1,1,289.4000,0.319,0.0,0.681,-0.8176
236488883,580344171019542528,"French authorities say the last words from a #Germanwings #Airbus320 distress call were ""emergency, emergency."" http://t.co/vNqUvdVjfp",43,7,121620,642,1,1,NaT,0.195,0.0,0.805,-0.5267
25360913,580350000074457088,We must confirm to our deepest regret that Germanwings Flight 4U 9525 from Barcelona to Düsseldorf has suffered an accident over the...,156,59,186417,720,1,1,5.3167,0.324,0.0,0.676,-0.8442
17469289,581183387848859648,"The co-pilot who rammed the Germanwings plane into the French Alps had previously ""battled depression"" http://t.co/PSBNTXo5AV",48,12,757396,41124,1,1,2.3500,0.296,0.0,0.704,-0.7096
7587032,580372127125131264,#Germanwings says it cannot confirm that a very brief distress signal was made before flight #4U9525 crashed http://t.co/Pbr82b0Eul,39,12,1964040,17,1,1,10.8000,0.187,0.0,0.813,-0.5688
22240612,580319184652890113,BREAKING: 148 passengers were on board #GermanWings Airbus A320 which has crashed in the southern French Alps http://t.co/VxxvrU9XmV,82,5,502598,30,1,1,1.1833,0.0,0.0,1.0,0.0
51241574,580697361799876608,"BREAKING: Germanwings CEO: Plane victims included 72 German citizens, 35 Spaniards, 2 Americans.",315,69,4972128,7338,1,1,1.1167,0.173,0.0,0.827,-0.3182
2754194395,581299253743501312,The co-pilot of the Germanwings Airbus was a convert to Islam http://t.co/Q7yHJ4Ne2d,131,27,4357,3717,0,1,22.0000,0.0,0.0,1.0,0.0
2280470022,580325235653799936,"Flight #4U9525 climbed to 38,000 feet before before it started to descend and lost signal at 6,800ft /@flightradar24 http://t.co/CIG4wqG5cU",297,42,58397,383,0,1,1.2333,0.113,0.0,0.887,-0.3182
21123640,580329455173967872,Pilots of crashed Germanwings flight declared emergency at 10:47 a.m. as plane fell rapidly. http://t.co/9YonrFRes3,37,8,2306,875,0,1,1380.3167,0.157,0.0,0.843,-0.3818
3010969478,580353449721655296,"German Airbus A320 Plane Crashes, 148 People DEAD
https://t.co/94oOOSSSVv
#4U9525 #germanwings #GermanWingsCrash #Airbus320 #planecrash",114,1,228,40,0,1,NaT,0.279,0.0,0.721,-0.7213
2280470022,581063906682114048,"BREAKING #Germanwings #4U9525 co-pilot's name is Andreas Lubitz, a German national, says Marseilles prosecutor.",76,11,61320,387,0,1,3.9667,0.0,0.0,1.0,0.0
7309052,580321925265788928,"MORE Airbus A320 that crashed in southern France operated by Germanwings, carrying 142 passengers, 2 pilots, 4 crew http://t.co/XwKPmofTD9",39,8,893230,2313,1,1,NaT,0.0,0.0,1.0,0.0
20639175,581064157870555136,BREAKING: Prosecutor identifies #Germanwings pilot who deliberately crashed plane carrying 150 people as German national Andreas Lubitz.,61,11,20699,7871,0,1,NaT,0.0,0.0,1.0,0.0
16973333,580330302251393024,#BREAKING: #Germanwings Airbus A320 crew sent distress signal before French Alps crash - reports http://t.co/JLDCz6AhFR,64,18,1103424,1758,1,1,6.8667,0.337,0.0,0.663,-0.7269
2768501,580320945740480512,"#BREAKING: A #Germanwings Airbus A320 plane has crashed in southern France, police and aviation officials say.",157,22,613246,1115,1,1,2.5833,0.0,0.0,1.0,0.0
227837742,580882417117958144,.@NYTimes reports #Germanwings pilot locked out of cockpit &amp; could not get back in before crash. #AC360 begins now http://t.co/vXigiUHUdS,68,26,525625,139,1,1,1.5167,0.124,0.0,0.876,-0.4019
2163076560,581264214809022464,Islam &amp; Muslims blamed even when neither have anything to do with mass killing.  #Germanwings #GermanWingsCrash http://t.co/DKmNEqzPc7,192,83,12530,669,0,1,1.7500,0.333,0.0,0.667,-0.8176
5402612,580333763512705025,"#Germanwings latest: http://t.co/8tZopIBYLh
- #Airbus A320 crashes in French Alps
- Barcelona-to-Dusseldorf flight
- 142 passengers &amp; 6 crew",1760,523,14132292,3,1,1,0.4333,0.0,0.0,1.0,0.0
525634151,581296960830881792,"Memo to @ron_fournier: you owe @jimgeraghty an apology:

GERMAN NEWS: Co-Pilot of Germanwings Airbus Was MUSLIM CONVERT",33,14,1843,96,0,1,2.1667,0.0,0.07,0.93,0.0516
51381252,580334678340558849,"Tracking data shows descent of #4U9525 was very aggressive, but not full freefall. (image via @planefinder)http://t.co/vV6LPavase",54,17,44760,2245,0,1,11.7333,0.088,0.0,0.912,-0.1145
19211550,581290271997968384,GERMAN NEWS: Co-Pilot of Germanwings Airbus Was MUSLIM CONVERT …’Hero of Islamic State’? http://t.co/J8budBthpm via @gatewaypundit,167,39,34120,975,0,1,1.0667,0.0,0.0,1.0,0.0
1652541,580327336505176064,"Germanwings plane crashes in France, up to 150 feared dead http://t.co/n44I07mnoh",383,44,6446943,1053,1,1,0.4500,0.455,0.0,0.545,-0.8176
24293233,581550667753504768,"#WakeUpAmerica 
Co-pilot was a Muslim Convert 
http://t.co/RYFQTVBYBL
@seanhannity @greta @act4america 
@KrisParonto @JGilliam_SEAL",55,23,10005,9113,0,1,423.1500,0.0,0.0,1.0,0.0
2280470022,580352273001410560,NEWS: 'Emergency Emergency' was the final distress call that was sent from the cockpit of flight #4U9525  - @PollyR_Aviation,130,21,58408,383,0,1,1.0167,0.364,0.0,0.636,-0.8225
5943072,580331561398108160,"1047 call: DGAC source says pilots called «urgence, urgence» (“emergency, emergency”), as opposed to a mayday call or 7700 squawk. #4U9525",111,14,7038,347,0,1,1.7667,0.0,0.0,1.0,0.0
134196350,580325090367315968,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn",1290,202,214148,369,1,1,0.6333,0.108,0.0,0.892,-0.3182
18119570,580330721719508992,"A Germanwings Airbus A320, flight #4U9525 BCN-DUS, crashed in southern France; 148 on board http://t.co/tUtpc26daX",87,15,35048,145,0,1,4.9333,0.0,0.0,1.0,0.0
7309052,580885624883904512,"One pilot in #Germanwings crash was locked out of cockpit, @nytimes reports http://t.co/doZIZCHP4o",35,11,893725,2312,1,1,16.6500,0.184,0.0,0.816,-0.4019
15108702,580369978546917376,"16 schoolchildren, two teachers may have been on crashed #Germanwings plane: German town Haltern. http://t.co/XnJBPX64F8",127,32,258612,50,0,1,8.0333,0.0,0.0,1.0,0.0
16834659,580320995266936832,#BREAKING: A Germanwings Airbus A320 has crashed in French Alps near Digne (@AhronYoung),26,5,183317,17881,1,1,NaT,0.0,0.0,1.0,0.0
28785486,580326111311171584,"BREAKING: French President Francois Hollande says “apparently no survivors"" in Germanwings crash, at least 148 passengers on the plane",253,54,4054357,862,1,1,0.9167,0.224,0.0,0.776,-0.5994
99034397,581287562947395584,The co-pilot of the Germanwings Airbus was a convert to Islam http://t.co/cXkX67PYQt,87,29,49522,2269,0,1,0.8333,0.0,0.0,1.0,0.0
74264602,580321156508577792,Now hearing 148 passengers + crew on board the #A320 that has crashed in southern French Alps. #GermanWings flight. @BBCWorld,95,17,7846,723,1,1,17.0333,0.0,0.0,1.0,0.0
7587032,580338546856235009,"The #GermanWings plane is believed to have crashed shortly after a distress call reporting an ""abnormal situation"" http://t.co/mLLtayvg1M",118,34,1963456,17,1,1,NaT,0.175,0.0,0.825,-0.5267
2280470022,580348878370828288,"BREAKING Authorities confirm last words from #germanwings #4U9525 A320 distress call were ""emergency, emergency"" http://t.co/wFg8KTSve2",180,18,58364,383,0,1,2.3667,0.316,0.0,0.684,-0.7184
81305054,580326222107951104,"Heart goes out to 148 passengers and crew of Germanwings Airbus A320 that has crashed in French Alps, Southern France http://t.co/K7fmJLRt4G",257,94,145903,86003,0,1,6.1000,0.0,0.0,1.0,0.0
487118986,580320856561209344,BREAKING: Lufthansa's Germanwings plane crashes in southern France -- Report,41,6,1495198,81,1,1,57.1500,0.0,0.0,1.0,0.0
17895820,580322782392762368,BREAKING: Germanwings airplane crashes in French Alps with 142 passengers http://t.co/v44gsbmtO0 http://t.co/I3t8rnaN5b,47,4,217348,376,1,1,NaT,0.0,0.0,1.0,0.0
1652541,580333904126742528,148 people feared dead after Germanwings Airbus crash in France: http://t.co/uuK7F3uSVP http://t.co/Y7e55cwW7B,822,168,6445802,1053,1,1,1.9167,0.531,0.0,0.469,-0.8807
26574283,580347290633838592,UPDATE: Germanwings says 144 passengers and 6 crew members were aboard the jet that crashed in France. http://t.co/QbF4sKLTCX,42,7,110732,29,1,1,13.1833,0.0,0.064,0.936,0.0258
326140439,580360165540642816,"@FRANCE24 reporter James André at French Civil Aviation Authority HQ: ""#Germanwings plane did NOT report distress signal"", no mayday.",27,4,613,732,0,1,4.9167,0.099,0.183,0.718,0.2206
51381252,580319005703069696,Several European news agencies reporting an accident involving a Germanwings Airbus A320 in southern France. Developing... #breaking,32,11,44744,2245,0,1,4.9500,0.171,0.0,0.829,-0.4767
25777812,580346142183002113,"Latest update from @germanwings - now saying 144 passengers and six crew, so 150 people on board A320 that crashed http://t.co/uj1VdJyW5s",25,1,15720,363,1,1,NaT,0.0,0.0,1.0,0.0
22993014,580326045238333441,UPDATE: French President François Hollande has said that no survivors are expected in Germanwings plane crash over France. #9News,29,9,179932,1162,1,1,2.9667,0.224,0.0,0.776,-0.5994
16973333,580347961256837120,"#BREAKING: Death toll on #Germanwings flight #4U9525 rises to 150 #A320
http://t.co/NK5U1GpHxL",56,8,1103776,1758,1,1,4.1167,0.262,0.0,0.738,-0.5994
91493488,581301262269829120,Co-pilot was a fresh convert- http://t.co/paAKWfHdg3,56,19,18617,20350,0,1,24.5000,0.0,0.365,0.635,0.3182
44728980,580320563891019776,BREAKING: Germanwings Airbus A320 crashes in French Alps | via @BBCBreaking,63,22,2021304,734,0,1,2.2500,0.0,0.0,1.0,0.0
497665754,580352540316946432,'No survivors' in #Germanwings crash says French transport minister adding it crashed after pilot issued distress signal in good weather,516,63,407431,97,1,1,0.6167,0.305,0.107,0.588,-0.6597
7744592,580323815261016064,"""The pilot did send an SOS message saying the plane was in distress."" -@BillNeelyNBC reporting on #germanwings plane crash.",115,30,2742838,8137,1,1,1.3667,0.13,0.0,0.87,-0.4019
22993014,580884417343815680,UPDATE: Black box recorder reveals one of #4U9525's pilots was banging on the door to get into the cockpit: http://t.co/EmSy5qU1ud #9News,39,9,180453,1162,1,1,3.2667,0.0,0.0,1.0,0.0
972651,580339547269144576,"Latest on #Germanwings crash: Pilots signaled 911 before dropping out of midair; airline CEO calls this a ""dark day."" http://t.co/S5CZoWnn2T",95,33,5122787,2801,1,1,1.8833,0.13,0.0,0.87,-0.4019
2884771,580885187837325312,"One pilot was locked out of cockpit before #Germanwings flight #4U9525 crashed, killing 150: http://t.co/A7THsq3ea8",65,17,2561329,58640,1,1,NaT,0.239,0.0,0.761,-0.6597
282335488,581303832895885312,"The #Germanwings co-pilot was not a Muslim, so he could not have been a terrorist. He was depressed. 😒 http://t.co/ySZzpYHuWB",33,11,654,621,0,1,5.1667,0.15,0.17,0.681,0.1124
17561562,581302544116379648,Apparently from the comments at German PI – Andreas Lubitz was Muslim convert from his Facebook page http://t.co/5v98FoTCSh,77,14,33266,186,0,1,1.5333,0.0,0.0,1.0,0.0
14173315,580339825649291264,#Germanwings passenger plane crashes in French Alps with 148 onboard http://t.co/JCDZtv8We0 http://t.co/yE0hUNdiTr,157,42,2168892,2881,1,1,1.1333,0.0,0.0,1.0,0.0
21866939,580882674413375488,Germanwings pilot 'was locked out of cockpit' before fatal plane crash http://t.co/OE9lMgPCoe http://t.co/hBu3xoIaUL,74,15,618160,1210,1,1,2.5500,0.36,0.0,0.64,-0.7351
3108351,580322346508124160,"Germanwings #A320 plane crashes in southern France, French prime minister says. More soon. http://t.co/k6pv4OsCQI",748,85,6049903,1012,1,1,1.6333,0.0,0.0,1.0,0.0
220343896,580320825351471104,BREAKING NEWS #A320 crashed could be Germanwings flight #4U9525 from Barcelona to Dusseldorf. (140 passengers),71,47,425465,265,0,1,0.3833,0.0,0.0,1.0,0.0
2280470022,580364973664309248,BREAKING #Germanwings pilots did not send mayday signal. ATC declared the emergency. http://t.co/wFg8KTSve2,212,32,56012,382,0,1,0.9000,0.178,0.0,0.822,-0.3818
18424289,580322453928431617,German Wings airline tweeting now about reports of plane crashing in French Alps with 148 on board: @germanwings http://t.co/SqUrmcvNKt,106,17,756575,361,1,1,271.6333,0.0,0.0,1.0,0.0
5943072,581063377226637312,#4U9525: Robin names Andreas Lubitz as the copilot in the flight deck who crashed the aircraft.,31,3,7419,349,0,1,1.8167,0.0,0.0,1.0,0.0
25049056,580330369603366913,VIDEO -  BREAKING NEWS - Germanwings Airbus crashes in the French Alps with 148 onboard http://t.co/C2fJV2Uapu http://t.co/y0RoEPBMqM,58,9,93671,1182,1,1,12.7833,0.0,0.0,1.0,0.0
5867842,580318020192571392,BREAKING: GermanWings A320 Crash in Southern France,27,1,10259,2286,0,1,74.6000,0.31,0.0,0.69,-0.4019
380648579,580347068457308160,#BREAKING Germanwings says 144 passengers and 6 crew on crashed plane,135,16,360879,498,1,1,6.9500,0.0,0.0,1.0,0.0
15942075,581315281630318593,The co-pilot of the Germanwings Airbus was a convert to Islam and became Fidain! http://t.co/QR1iNWTXuh,35,10,30412,299,0,1,17.4833,0.0,0.0,1.0,0.0
30122242,581295858898989056,"Converts are DISTURBED!!
Co-Pilot of #GermanWings Airbus Was a Muslim convert.
""Hero of Islamic State""
http://t.co/jBoJb6rfor #WhiteMuslims",25,11,24283,26712,0,1,7.8833,0.155,0.194,0.651,0.2146
51241574,580371847335821312,BREAKING: Germanwings CEO: plane went into 8-minute descent before crashing.,301,54,4965662,7338,1,1,0.9000,0.0,0.0,1.0,0.0
38400130,581357303405813760,#Germanwings co-pilot suffered serious depression 6 years ago: German newspaper http://t.co/LXDzBdNdMB http://t.co/yTUNdHyEJY,42,12,330068,149,1,1,NaT,0.506,0.0,0.494,-0.802
134196350,580319999887347712,Germanwings flight #4U9525 (registration D-AIPX) was lost from Flightradar24 at 6800 feet at 09.39 UTC time. http://t.co/vZaQMUlLaZ,2773,497,213060,368,1,1,1.1000,0.126,0.0,0.874,-0.3182
9648652,580332485030125568,#Breaking: A plane carrying at least 142 people crashes in  France. French PM says unlikely anyone on the #Germanwings  jetliner survived,25,10,121059,19578,1,1,15.1500,0.0,0.148,0.852,0.5106
72882689,581287108607811584,BREAKING GERMAN NEWS: Germanwings Airbus Co-Pilot Was MUSLIM CONVERT http://t.co/oRtt0ab4YA via @gatewaypundit,141,51,19411,15122,0,1,3.4000,0.0,0.0,1.0,0.0
17740486,580329886532968448,"Passenger plane carrying 148 people crashes in the French Alps en route from Spain to Germany.
#Germanwings",30,7,86373,804,0,1,68.1167,0.0,0.0,1.0,0.0
1344951,580882121222434816,Recovered black box shows a pilot was locked out of the Germanwings cockpit before the crash http://t.co/ac6AdA5NKL http://t.co/bxgMNjEGeW,282,97,4245466,196,1,1,2.7167,0.144,0.0,0.856,-0.4019
940368062,581252958446329857,The co-pilot of the Germanwings Airbus was a convert to Islam - http://t.co/7MHPhG5aIR #RedNationRising,34,8,42637,22433,0,1,4.1667,0.0,0.0,1.0,0.0
5392522,581409613913804800,Report: Germanwings Co-Pilot Treated For Depression http://t.co/ewynIJ23A2,40,21,3449966,73908,1,1,1.2667,0.381,0.0,0.619,-0.5719
58913244,580326398620934144,.@flightradar24 altitude &amp; speed chart of #4U9525. Aircraft entered a steep but constant descent. http://t.co/Hl7IVhZCmy,230,65,13070,689,0,1,4.0333,0.0,0.0,1.0,0.0
17561562,581300992194572288,"MUSLIM CONVERT? A German news website, http://t.co/sZQQ0pKwM1 claims Andreas Lubitz was a Muslim convert http://t.co/nX2CXzgiJr",31,13,33277,186,0,1,4.5500,0.0,0.0,1.0,0.0
1263002017,581288928646340608,"Germany now has its own 9/11, thanks to the convert to Islam, #AndreasLubitz.
#GermanyWings 
http://t.co/J6OTGRWHJO http://t.co/2a0zoSkjA6",40,18,4773,1805,0,1,5.2667,0.0,0.162,0.838,0.4404
